Unit_Name,Designation,State,Region,NPS_Fee_Acres,NPS_Less_Than_Fee_Acres,Other_Federal_Fee_Acres,Subtotal_Federal_Acres,Other_Public_Acres,Private_Acres,Subtotal_Non_Federal_Acres,Gross_Area_Acres
GUILFORD COURTHS NMP,National Military Park,NC,Southeast,251.49,0.0,0.0,251.49,0.0,0.0,0.0,251.49
GUADALUPE MTS NP,National Park,TX,Intermountain,86367.1,0.0,0.0,86367.1,0.0,0.0,0.0,86367.1
HAMPTON NHS,National Historic Site,MD,Northeast,62.04,0.0,0.0,62.04,0.0,0.0,0.0,62.04
HOHOKAM PIMA NM,National Monument,AZ,Intermountain,0.0,0.0,0.0,0.0,0.0,1690.0,1690.0,1690.0
HERBERT HOOVER NHS,National Historic Site,IA,Midwest,181.11,0.0,0.0,181.11,4.59,1.1,5.69,186.8
HOMESTEAD NM OF AMERIC,Other Designation,NE,Midwest,181.11,24.07,0.0,205.18,5.91,0.0,5.91,211.09
HOME OF F D R NHS,National Historic Site,NY,Northeast,785.45,46.98,1.0,833.43,0.0,0.0,0.0,833.43
HARRIET TUBMAN UNDRGR RR NHP,National Historical Park,MD,Northeast,480.0,0.0,0.0,480.0,0.0,0.0,0.0,480.0
HARPERS FERRY NHP,National Historical Park,MD-VA-WV,National Capital,3154.77,53.67,338.97,3547.41,59.1,49.71,108.81,3656.22
HAWAII VOLCANOES NP,National Park,HI,Pacific West,323431.38,0.0,0.0,323431.38,0.0,0.0,0.0,323431.38
HARRY S TRUMAN NHS,National Historic Site,MO,Midwest,12.59,0.0,0.0,12.59,0.0,0.0,0.0,12.59
LAKE CHELAN NRA,National Recreation Area,WA,Pacific West,59337.22,11.83,0.0,59349.05,2210.44,386.78,2597.22,61946.27
KOREAN WAR VETERANS MEM,Memorial,DC,National Capital,1.56,0.0,0.0,1.56,0.0,0.0,0.0,1.56
LAKE CLARK NP,National Park,AK,Alaska,2481439.42,0.0,0.0,2481439.42,37426.0,100951.07,138377.07,2619816.49
LAKE CLARK N PRESERVE,National Preserve,AK,Alaska,1249957.36,9251.98,0.0,1259209.34,58224.63,92859.71,151084.34,1410293.68
KLONDIKE GOLD RUSH NHP,National Historical Park,AK-WA,Alaska,3420.0,0.0,0.0,3420.0,9199.38,377.11,9576.49,12996.49
KOBUK VALLEY NP,National Park,AK,Alaska,1714253.45,5.0,0.0,1714258.45,966.0,35491.71,36457.71,1750716.16
